access_code,state_code,access_flag,add_date,expire_date,status
50508,CA,0,20090519,20170514,A
68163,CA,0,20090519,20170514,A
70257,CA,0,20090519,20170514,A
70547,CA,0,20090519,20170514,A
70548,CA,0,20090519,20170514,A
70551,CA,0,20090519,20170514,A
70657,CA,0,20090519,20170514,A
70744,CA,0,20090519,20170514,A
70754,CA,0,20090519,20170514,A
70775,CA,0,20090519,20170514,A
70917,CA,0,20090519,20170514,A
70952,CA,0,20090519,20170514,A
71010,CA,0,20090519,20170514,A
71086,CA,0,20090519,20170514,A
71909,CA,0,20090519,20170514,A
73029,CA,0,20090519,20170514,A
73058,CA,0,20090519,20170514,A
73104,CA,0,20090519,20170514,A
73166,CA,0,20090519,20170514,A
73205,CA,0,20090519,20170514,A
73236,CA,0,20090519,20170514,A
73273,CA,0,20090519,20170514,A
73278,CA,0,20090519,20170514,A
73285,CA,0,20090519,20170514,A
73286,CA,0,20090519,20170514,A
73287,CA,0,20090519,20170514,A
73289,CA,0,20090519,20170514,A
73291,CA,0,20090519,20170514,A
73296,CA,0,20090519,20170514,A
73303,CA,0,20090519,20170514,A
73305,CA,0,20090519,20170514,A
73307,CA,0,20090519,20170514,A
73308,CA,0,20090519,20170514,A
73311,CA,0,20090519,20170514,A
78085,CA,0,20090519,20170514,A
78211,CA,0,20090519,20170514,A
78416,CA,0,20090519,20170514,A
79158,CA,0,20090519,20170514,A
79362,CA,0,20090519,20170514,A
79426,CA,0,20090519,20170514,A
79824,CA,0,20090519,20170514,A
79913,CA,0,20090519,20170514,A
79914,CA,0,20090519,20170514,A
A1195,CA,0,20090519,20170514,A
A3014,CA,0,20090519,20170514,A
A5059,CA,0,20090519,20170514,A
A5214,CA,0,20090519,20170514,A
A6948,CA,0,20090519,20170514,A
AA406,CA,0,20090519,20170514,A
AA407,CA,0,20090519,20170514,A
AA408,CA,0,20090519,20170514,A
AA414,CA,0,20090519,20170514,A
AA415,CA,0,20090519,20170514,A
AA416,CA,0,20090519,20170514,A
AA419,CA,0,20090519,20170514,A
AA420,CA,0,20090519,20170514,A
AA421,CA,0,20090519,20170514,A
AA432,CA,0,20090519,20170514,A
AA435,CA,0,20090519,20170514,A
AA439,CA,0,20090519,20170514,A
AA448,CA,0,20090519,20170514,A
AA453,CA,0,20090519,20170514,A
AA458,CA,0,20090519,20170514,A
AA459,CA,0,20090519,20170514,A
AA485,CA,0,20090519,20170514,A
AA486,CA,0,20090519,20170514,A
AA489,CA,0,20090519,20170514,A
AA495,CA,0,20090519,20170514,A
AB203,CA,0,20090519,20170514,A
AB225,CA,0,20090519,20170514,A
AB232,CA,0,20090519,20170514,A
AB256,CA,0,20090519,20170514,A
AB261,CA,0,20090519,20170514,A
AB273,CA,0,20090519,20170514,A
AB282,CA,0,20090519,20170514,A
AB284,CA,0,20090519,20170514,A
AB298,CA,0,20090519,20170514,A
AB313,CA,0,20090519,20170514,A
AB324,CA,0,20090519,20170514,A
AB329,CA,0,20090519,20170514,A
AB330,CA,0,20090519,20170514,A
AB336,CA,0,20090519,20170514,A
AB340,CA,0,20090519,20170514,A
AB351,CA,0,20090519,20170514,A
AB360,CA,0,20090519,20170514,A
AB363,CA,0,20090519,20170514,A
AB382,CA,0,20090519,20170514,A
AB393,CA,0,20090519,20170514,A
AB704,CA,0,20090519,20170514,A
AB713,CA,0,20090519,20170514,A
AB727,CA,0,20090519,20170514,A
AB736,CA,0,20090519,20170514,A
AB739,CA,0,20090519,20170514,A
AB740,CA,0,20090519,20170514,A
AB742,CA,0,20090519,20170514,A
AB746,CA,0,20090519,20170514,A
