Location,Node,Relationship
0000505,D05000,R
0000514,B14004,R
0000533,C31023000,R
0000541,E41002,R
0000552,E11097,R
0000553,V00002,R
0000702,D05008,R
0000707,D05320,R
0000713,D48003,R
0000715,C33000,R
0000716,C21000,R
0000718,C33004,R
0000719,B14001,R
0000720,B36001,R
0000721,B36002,R
0000722,E43006,R
0000723,F44005,R
0000724,D06001,R
0000726,B23001,R
0000728,C07000,R
0000729,F44006,R
0000731,E10001,R
0000735,E43002,R
0000736,B50001,R
0000739,F19002,R
0000741,B28001,R
0000743,C39002,R
0000744,D38001,R
0000745,E47000,R
0000746,D05001,R
0000747,B26003,R
0000748,D45000,R
0000749,C09002,R
0000750,C49001,R
0000751,C33002,R
0000752,C31001,R
0000753,B36005,R
0000754,E11004,R
0000755,C12000,R
0000758,E01001,R
0000761,B23002,R
0000768,C39000,R
0000769,F44002,R
0000770,C20001,R
0000774,E34026,R
0000776,F25001,R
0000777,F32001,R
0000779,C39004,R
0000781,D05004,R
0000782,D05007,R
0000784,B18002,R
0000785,E10002,R
0000786,D05005,R
0000789,C31002000,R
0000792,E10003,R
0000793,B14002,R
0000794,F19003,R
0000800,E10069,R
0000801,E10005,R
0000805,E88888000,R
0000999,E11999001,R
0000999,E11999002,R
0000999,E11999003,R
0001018,C07024000,R
0001114,F10020000,R
0001115,C33061000,R
0001116,C33007000,R
0001120,F44010000,R
0001128,C07020000,R
0001163,E10012000,R
0001164,F33070000,R
0001165,C33033000,R
0001176,C39058000,R
0001177,C22025000,R
0001183,A07024000,R
0001232,B14071000,R
0001237,C33101000,R
0001238,E11119000,R
0001263,E43024000,R
0001264,E43025000,R
0001265,C33122000,R
0001266,C33120000,R
0001270,F44176000,R
0001271,F31064000,R
0001274,C07048000,R
0001276,C22053000,R
0001277,E10132000,R
0001278,D05320000,R
0001279,C33100000,R
0001284,E43009000,R
0001287,E43063000,R
0001289,J78327000,R
0001293,F44365000,R
0001295,F44380000,R
0001302,D48088000,R
0001303,C47005000,R
0001305,C07107000,R
0001306,C07108000,R
0001307,C33372000,R
0001308,D05351000,R
0001310,F44432000,R
0001311,C33386000,R
0001314,A07012000,R
0001316,CP1327000,R
0001317,CP1340000,R
0001318,CP1341000,R
0001319,CP1342000,R
0001320,CP1343000,R
0001321,CP1344000,R
0001322,CP1345000,R
0001323,CP1346000,R
0001324,CP1347000,R
0001325,CP1348000,R
0001326,CP1349000,R
0001327,CP1350000,R
0001328,CP1351000,R
0001329,CP1352000,R
0001330,CP1353000,R
0001331,CP1354000,R
0001332,CP1355000,R
0001333,CP1356000,R
0001334,CP1368000,R
0001336,CP1489000,R
0001337,CP1499000,R
0001339,CP2214000,R
0001340,CP2216000,R
0001341,CP2218000,R
0001342,E11717000,R
0001344,CP2461000,R
0001346,CP2393000,R
0001347,CP3047000,R
0001348,F44573000,R
0001349,CP3119000,R
0001350,CP3332000,R
0001351,CP2055000,R
0001352,CP3575000,R
0001353,CP4147000,R
0001354,CP4148000,R
0001355,CP4188000,R
0001356,CP4206000,R
0001357,CP4207000,R
0001358,CP4208000,R
0001359,CP4219000,R
0001360,CP4236000,R
